id_achat,id_client,date_achat,montant,produit
1,1,2025-05-05,771.74,Webcam
2,1,2025-09-03,507.88,Webcam
3,1,2025-06-09,966.61,Headphones
4,1,2025-01-21,803.25,Tablet
5,1,2025-05-15,874.27,Laptop
6,1,2025-03-14,644.77,Mouse
7,1,2025-11-27,559.0,Phone
8,2,2025-08-19,852.65,Monitor
9,2,2025-10-26,93.04,Tablet
10,2,2025-07-31,280.06,Charger
11,2,2025-09-14,155.88,Webcam
12,2,2025-04-01,100.8,Headphones
13,2,2025-11-14,818.54,Mouse
14,2,2025-12-22,931.17,Webcam
15,2,2025-12-10,62.72,Charger
16,3,2025-10-06,243.42,Phone
17,3,2025-08-17,381.16,Laptop
18,3,2025-03-28,325.5,Phone
19,3,2025-03-13,840.78,Mouse
20,3,2025-05-10,793.47,Tablet
21,5,2025-02-23,918.22,Speaker
22,5,2025-08-01,699.11,Tablet
23,5,2025-12-29,761.25,Speaker
24,5,2025-02-01,454.12,Laptop
25,6,2025-03-05,28.81,Headphones
26,7,2025-05-25,553.32,Charger
27,7,2025-02-12,429.02,Monitor
28,8,2025-12-02,308.14,Laptop
29,8,2025-12-23,246.06,Speaker
30,8,2025-09-15,72.18,Speaker
31,9,2025-04-01,540.69,Charger
32,9,2025-03-18,579.3,Tablet
33,9,2026-01-15,298.36,Laptop
34,9,2025-04-13,618.66,Headphones
35,9,2025-12-20,574.96,Tablet
36,9,2025-10-27,667.73,Phone
37,9,2025-01-27,528.25,Mouse
38,9,2025-12-05,77.0,Charger
39,9,2025-12-29,548.64,Charger
40,10,2025-03-04,30.13,Speaker
41,10,2025-12-30,53.1,Webcam
42,10,2025-01-27,981.23,Monitor
43,10,2025-12-01,749.84,Mouse
44,10,2025-11-26,790.63,Mouse
45,10,2025-04-04,248.71,Phone
46,10,2025-02-05,773.79,Mouse
47,10,2025-06-27,142.08,Mouse
48,11,2025-03-31,345.16,Tablet
49,11,2025-10-27,832.08,Speaker
50,11,2025-08-22,981.01,Speaker
51,11,2025-03-04,635.42,Tablet
52,11,2026-01-07,72.47,Speaker
53,11,2025-07-22,46.61,Headphones
54,11,2025-08-17,53.37,Headphones
55,11,2025-07-26,886.93,Mouse
56,12,2025-03-18,520.23,Charger
57,12,2025-04-04,478.67,Laptop
58,12,2025-12-28,755.76,Headphones
59,12,2025-10-16,293.25,Laptop
60,13,2025-05-29,338.61,Phone
61,13,2026-01-17,801.35,Webcam
62,13,2025-06-18,890.59,Speaker
63,13,2025-04-04,895.69,Webcam
64,13,2025-02-20,345.65,Tablet
65,13,2025-07-22,501.24,Speaker
66,13,2025-07-11,373.67,Charger
67,13,2025-07-23,274.05,Phone
68,13,2025-12-29,729.81,Phone
69,13,2025-01-23,436.3,Tablet
70,14,2025-06-06,300.83,Phone
71,14,2025-06-20,89.27,Monitor
72,14,2026-01-04,313.43,Webcam
73,14,2025-02-23,174.98,Speaker
74,14,2025-05-29,358.03,Laptop
75,14,2025-05-11,729.55,Mouse
76,14,2025-02-10,618.7,Webcam
77,14,2025-12-30,281.81,Laptop
78,15,2025-09-13,674.47,Webcam
79,16,2025-04-11,517.96,Tablet
80,16,2025-10-01,953.26,Tablet
81,16,2025-09-13,850.18,Speaker
82,16,2025-11-10,44.45,Phone
83,16,2025-12-04,243.64,Mouse
84,17,2025-01-23,389.03,Laptop
85,17,2026-01-05,609.04,Speaker
86,17,2025-10-12,949.34,Mouse
87,17,2025-12-12,449.5,Phone
88,17,2025-02-03,578.18,Charger
89,18,2025-11-24,404.05,Monitor
90,18,2025-03-23,257.12,Phone
91,18,2025-01-21,35.65,Tablet
92,18,2025-07-26,504.05,Webcam
93,18,2025-03-10,914.41,Phone
94,19,2025-07-08,777.21,Speaker
95,19,2025-02-01,222.42,Monitor
96,19,2025-08-24,697.04,Speaker
97,19,2025-04-04,208.18,Tablet
98,20,2025-10-15,457.52,Speaker
99,21,2025-05-05,812.41,Mouse
100,22,2025-09-01,353.95,Phone
101,22,2025-11-15,554.5,Monitor
102,22,2025-06-20,892.42,Tablet
103,22,2025-03-22,714.69,Tablet
104,22,2025-07-26,795.76,Charger
105,22,2025-03-14,232.0,Headphones
106,22,2025-11-10,794.15,Headphones
107,22,2025-09-19,792.47,Laptop
108,22,2025-05-31,367.29,Mouse
109,22,2025-12-22,472.73,Charger
110,23,2025-11-01,615.83,Phone
111,23,2025-01-28,75.09,Webcam
112,24,2025-04-02,530.44,Webcam
113,24,2025-06-14,825.11,Phone
114,24,2025-06-03,134.07,Mouse
115,24,2025-11-21,645.92,Speaker
116,24,2025-09-02,471.17,Charger
117,24,2025-01-28,351.07,Charger
118,24,2025-01-27,643.4,Tablet
